City,Zip Code,County,Field Office,Region
Pollock,83547,Idaho,Kamiah,II
Ponderay,83852,Bonner,Sandpoint,I
Porthill,83853,Boundary,Bonners Ferry,I
Post Falls,83854,Kootenai,COEUR D ALENE,I
Potlatch,83855,Latah,Moscow,II
Preston,83263,Franklin,Preston,VI
Priest River,83856,Bonner,Sandpoint,I
Princeton,83857,Latah,Moscow,II
Rathdrum,83858,Kootenai,COEUR D ALENE,I
Reubens,83548,Lewis,Kamiah,II
Rexburg,83440,Madison,Rexburg,VII
Richfield,83349,Lincoln,Jerome,V
Rigby,83442,Jefferson,Rigby,VII
Riggins,83549,Idaho,Kamiah,II
Ririe,83443,Jefferson,Rigby,VII
Roberts,83444,Jefferson,Rigby,VII
Rockland,83271,Power,American Falls,VI
Rogerson,83302,Twin Falls,Twin Falls,V
Rupert,83350,Minidoka,Burley,V
Sagle,83860,Bonner,Sandpoint,I
St Anthony,83445,Fremont,St Anthony,VII
St Charles,83272,Bear Lake,Montpelier,VI
St Maries,83861,Benewah,St Maries,I
Salmon,83467,Lemhi,Salmon,VII
Samuels,83862,Bonner,Sandpoint,I
Sanders,83863,Benewah,St Maries,I
Sandpoint,83864,Bonner,Sandpoint,I
Santa,83866,Benewah,St Maries,I
Shelley,83274,Bingham,Blackfoot,VI
Shoshone,83352,Lincoln,Jerome,V
Shoup,83469,Lemhi,Salmon,VII
Silverton,83867,Shoshone,Kellogg,I
Smelterville,83868,Shoshone,Kellogg,I
Smiley Creek,83340,Blaine,Hailey,V
Smiths Ferry,83611,Valley,McCall,IV
Soda Springs,83501,Caribou,Soda Springs,VI
South Gate Plaza,83501,Lewiston,Lewiston,II
Spalding,83551,NezPerce,Lewiston,II
Spencer,83446,Clark,Rigby,VII
Spirit Lake,83869,Kootenai,Cd=A/Sandpoint,I
Springfield,83277,Bingham,Blackfoot,VI
Squirrel,83447,Teton,Rexburg,VII
Stanley,83278,Custer,Salmon,VII
Star,83669,Ada,Boise,IV
Sterling,832101,Blaine,Pocatello,VI
Stites,83552,Idaho,Kamiah,II
Stone,83280,Oneida,Preston,VI
Sugar City,83448,Madison,Rexburg,VII
Sun Valley,83353,Blaine,Hailey,V
Sun Valley,83354,Blaine,Hailey,V
Swan Valley,83449,Bonneville,Idaho Falls,VII
Swanlake,83281,Bannock,Pocatello,VI
Sweet,83670,Gem,Emmett,IV
Tendoy,83468,Lemhi,Salmno,VII
Tensed,83870,Benewah,St Maries,I
Terreton,83450,Jefferson,Rigby,VII
Teton,83451,Fremont,St Anthony,VII
Tetonia,83452,Teton,Rexburg,VII
Thatcher,83283,Franklin,Preston,VI
Troy,83871,Latah,Moscow,II
Twin Falls,83301,Twin Falls,Twin Falls,V
Ucon,83454,Bonneville,Idaho Falls,VII
University,83843,Latah,Moscow,II
Vans Corner,83856,Bonner,Sandpoint,I
Victor,83455,Teton,Rexburg,VII
Viola,83872,Latah,Moscow,II
Wallace,83873,Shoshone,Kellogg,I
Wardner,83837,Shoshone,Kellogg,I
Warren,83671,Valley,McCall,IV
Wayan,83285,Caribou,Soda Springs,VI
Weippe,83553,Clearwater,Orofino,II
Weiser,83672,Washington,Weiser,III
Wendell,83355,Gooding,Jerome,V
West Mountain,83611,Valley,McCall,IV
Weston,83286,Franklin,Preston,VI
White Bird,83554,Idaho,Kamiah,II
Wilder,83676,Canyon,Nampa,III
Winchester,83555,Lewis,Kamiah,II
Worley,83876,Kootenai,COEUR D ALENE,I
Yellow Pine,83677,Valley,McCall,IV
Butte,83213,Butte,Arco,VII
Crouch,83622,Boise,Boise,IV
CuldeSac,83524,NezPerce,Lewiston,II
Dalton Gardens,83815,Kootenai,COEUR D ALENE,I
Drummond,83420,Fremont,St Anthony,VII
East Hope,83836,Bonner,Sandpoint,I
Fernan Lake,83814,Kootenai,COEUR D ALENE,I
Hauser,83854,Kootenai,COEUR D ALENE,I
Hollister,83301,Twin Falls,Twin Falls,V
Huetter,83814,Kootenai,COEUR D ALENE,I
Mud Lake,83450,Jefferson,Rigby,VII
onaway,83855,Latah,Moscow,II
parkline,83861,Benewah,St Maries,I
State Line,83854,Kootenai,COEUR D ALENE,I
Warm River,83420,Fremont,St Anthony,VII

