postalcode,latitude,longitude,Name
83546,46.4924,-115.8071,PIERCE CITY
83553,46.3807,-115.9386,WEIPPE CITY
83827,46.7835,-116.1799,ELK RIVER CITY
83226,44.4969,-114.1946,CHALLIS CITY
83227,44.2733,-114.4102,CLAYTON CITY
83235,44.6919,-114.0484,
83251,43.9111,-113.61200000000001,MACKAY CITY
83278,44.3714,-114.8561,STANLEY CITY
83601,43.8479,-115.2538,
83623,42.9622,-115.316,GLENNS FERRY CITY
83627,42.9457,-115.4662,
83633,42.9799,-115.1899,
83647,43.1392,-115.6963,MOUNTAIN HOME CITY
83648,43.7914,-116.4012,
83228,42.216,-111.9957,CLIFTON CITY
83228,42.216,-111.9957,OXFORD CITY
83232,42.1184,-111.9858,DAYTON CITY
83237,42.0288,-111.7871,FRANKLIN CITY
83263,42.1109,-111.8565,PRESTON CITY
83283,42.3794,-111.6841,
83286,42.0446,-111.9715,WESTON CITY
83420,44.0153,-111.4253,ASHTON CITY
83420,44.0153,-111.4253,DRUMMOND CITY
83420,44.0153,-111.4253,WARM RIVER CITY
83421,44.0011,-111.5351,
83429,44.4466,-111.3679,ISLAND PARK CITY
83433,44.3192,-111.6017,
83436,43.8881,-111.6042,NEWDALE CITY
83438,43.9594,-111.7577,PARKER CITY
83445,43.963,-111.7036,ST ANTHONY CITY
83451,43.8907,-111.6504,TETON CITY
83617,43.9089,-116.4927,EMMETT CITY
83636,43.8963,-116.6462,
83657,44.2418,-116.2732,
83670,43.9948,-116.3232,
83314,42.9449,-114.9104,BLISS CITY
83330,42.9373,-114.712,GOODING CITY
83332,42.8142,-114.887,HAGERMAN CITY
83355,42.7579,-114.7154,WENDELL CITY
83522,46.0448,-116.3733,COTTONWOOD CITY
83525,45.7896,-115.5024,
83526,46.1349,-116.3982,FERDINAND CITY
83530,45.9272,-116.1076,GRANGEVILLE CITY
83531,45.9632,-116.2563,
83533,46.1155,-116.2724,
83539,46.11600000000001,-115.9459,KOOSKIA CITY
83542,45.556999999999995,-116.2669,
83547,45.3068,-116.3517,
83549,45.397,-116.3006,RIGGINS CITY
83552,46.001999999999995,-115.9269,STITES CITY
83554,45.7521,-116.2889,WHITE BIRD CITY
83671,45.2641,-115.6765,
83425,43.9308,-112.1872,HAMER CITY
83431,43.6725,-112.0189,LEWISVILLE CITY
83434,43.7266,-111.9837,MENAN CITY
83435,43.9862,-112.5783,
83442,43.6715,-111.9005,RIGBY CITY
83443,43.5197,-111.5266,RIRIE CITY
83444,43.7116,-112.1196,ROBERTS CITY
83450,43.8586,-112.42,MUD LAKE CITY
83325,42.5868,-114.2467,EDEN CITY
83335,42.5955,-114.135,HAZELTON CITY
83338,42.7178,-114.5012,JEROME CITY
83801,47.9267,-116.7318,ATHOL CITY
83803,47.9822,-116.5494,
83810,47.5522,-116.4431,
83814,47.6928,-116.785,COEUR D ALENE CITY
83814,47.6928,-116.785,FERNAN LAKE CITY
83814,47.6928,-116.785,HUETTER CITY
83815,47.7248,-116.789,DALTON GARDENS CITY
83816,47.6777,-116.7805,
83833,47.5017,-116.7446,HARRISON CITY
83835,47.7989,-116.7423,HAYDEN CITY
83835,47.7989,-116.7423,HAYDEN LAKE CITY
83842,47.4625,-116.5683,
83854,47.7205,-116.9353,HAUSER CITY
83854,47.7205,-116.9353,POST FALLS CITY
83854,47.7205,-116.9353,STATE LINE CITY
83858,47.8241,-116.8873,RATHDRUM CITY
83869,47.9657,-116.868,SPIRIT LAKE CITY
83876,47.4292,-116.9056,WORLEY CITY
83877,47.718,-116.9516,
83535,46.5754,-116.7188,JULIAETTA CITY
83537,46.6286,-116.6049,KENDRICK CITY
83806,46.8588,-116.3935,BOVILL CITY
83823,46.8061,-116.5238,DEARY CITY
83832,46.5714,-116.929,GENESEE CITY
83834,46.9376,-116.7025,
83843,46.7309,-116.9897,MOSCOW CITY
83844,46.7324,-117.0002,
83855,46.9448,-116.9141,ONAWAY CITY
83855,46.9448,-116.9141,POTLATCH CITY
83857,46.8996,-116.8287,
83871,46.7426,-116.7681,TROY CITY
83872,46.8583,-116.9732,
83229,45.093,-114.2317,
83253,44.6044,-113.912,
83462,45.255,-113.8573,
83463,45.5704,-113.9913,
83464,44.7389,-113.4926,LEADORE CITY
83465,44.8516,-113.6198,
83466,45.4242,-114.0419,
83467,45.1571,-113.8784,SALMON CITY
83468,44.9681,-113.8167,
83469,45.3769,-114.277,
83523,46.2453,-116.4677,CRAIGMONT CITY
83536,46.2186,-116.0347,
83543,46.2475,-116.2393,NEZPERCE CITY
83548,46.3361,-116.5333,REUBENS CITY
83555,46.2383,-116.6204,WINCHESTER CITY
83324,42.9125,-114.2664,DIETRICH CITY
83349,43.0588,-114.1508,RICHFIELD CITY
83352,42.9474,-114.3822,SHOSHONE CITY
83440,43.81,-111.789,REXBURG CITY
83441,43.7761,-111.691,
83448,43.8477,-111.6932,SUGAR CITY
83460,43.826,-111.7897,
83336,42.5599,-113.7709,HEYBURN CITY
83343,42.773,-113.5098,MINIDOKA CITY
83347,42.623999999999995,-113.7971,PAUL CITY
83350,42.6888,-113.6481,ACEQUIA CITY
83350,42.6888,-113.6481,RUPERT CITY
83501,46.3646,-116.8609,SODA SPRINGS CITY
83501,46.3646,-116.8609,LEWISTON CITY
83524,46.378,-116.6536,CULDESAC CITY
83540,46.4124,-116.7902,LAPWAI CITY
83545,46.4807,-116.4114,PECK CITY
83243,42.1619,-112.6539,
83252,42.1808,-112.262,MALAD CITY
83604,42.614,-115.8419,
83624,42.9896,-116.0934,GRAND VIEW CITY
83628,43.6138,-116.9472,HOMEDALE CITY
83639,43.5399,-116.824,
83650,42.8481,-116.6371,
83619,44.0027,-116.9143,FRUITLAND CITY
83655,43.958999999999996,-116.8048,NEW PLYMOUTH CITY
83661,44.0782,-116.9203,PAYETTE CITY
83211,42.6352,-112.9458,AMERICAN FALLS CITY
83212,42.5026,-112.5585,
83271,42.5556,-112.854,ROCKLAND CITY
83802,47.2714,-115.866,
83808,47.3219,-116.0703,
83812,47.0107,-116.2529,
83837,47.5431,-116.1253,KELLOGG CITY
83837,47.5431,-116.1253,WARDNER CITY
83839,47.5509,-116.2887,
83846,47.4709,-115.7926,MULLAN CITY
83849,47.5211,-116.021,OSBURN CITY
83850,47.5018,-116.2647,PINEHURST CITY
83867,47.4981,-115.9657,
83868,47.5362,-116.2062,SMELTERVILLE CITY
83873,47.4908,-115.962,WALLACE CITY
83874,47.6271,-115.8585,
83422,43.7263,-111.1199,DRIGGS CITY
83424,43.8724,-111.1895,
83452,43.7814,-111.2118,TETONIA CITY
83455,43.6148,-111.1259,VICTOR CITY
