LAUS Code,State FIPS Code,County FIPS Code,County/State,County FIPS Year,County Labor Force,County Labor Employed,County Labor Unemployed,Unemployment Rate (%)
CN1604100000000,16,41.0,"Franklin County, ID",1999.0,4633.0,4478.0,155.0,3.3
CN1604300000000,16,43.0,"Fremont County, ID",1999.0,4805.0,4492.0,313.0,6.5
CN1604500000000,16,45.0,"Gem County, ID",1999.0,6245.0,5836.0,409.0,6.5
CN1604700000000,16,47.0,"Gooding County, ID",1999.0,6604.0,6379.0,225.0,3.4
CN1604900000000,16,49.0,"Idaho County, ID",1999.0,6244.0,5608.0,636.0,10.2
CN1605100000000,16,51.0,"Jefferson County, ID",1999.0,10274.0,9843.0,431.0,4.2
CN1605300000000,16,53.0,"Jerome County, ID",1999.0,8932.0,8549.0,383.0,4.3
CN1605500000000,16,55.0,"Kootenai County, ID",1999.0,55675.0,51460.0,4215.0,7.6
CN1605700000000,16,57.0,"Latah County, ID",1999.0,14847.0,14386.0,461.0,3.1
CN1605900000000,16,59.0,"Lemhi County, ID",1999.0,3843.0,3550.0,293.0,7.6
CN1606100000000,16,61.0,"Lewis County, ID",1999.0,1536.0,1437.0,99.0,6.4
CN1606300000000,16,63.0,"Lincoln County, ID",1999.0,1866.0,1770.0,96.0,5.1
CN1606500000000,16,65.0,"Madison County, ID",1999.0,10424.0,10170.0,254.0,2.4
CN1606700000000,16,67.0,"Minidoka County, ID",1999.0,9798.0,9095.0,703.0,7.2
CN1606900000000,16,69.0,"Nez Perce County, ID",1999.0,23331.0,22459.0,872.0,3.7
CN1607100000000,16,71.0,"Oneida County, ID",1999.0,1732.0,1667.0,65.0,3.8
CN1607300000000,16,73.0,"Owyhee County, ID",1999.0,4394.0,4212.0,182.0,4.1
CN1607500000000,16,75.0,"Payette County, ID",1999.0,10157.0,9440.0,717.0,7.1
CN1607700000000,16,77.0,"Power County, ID",1999.0,3457.0,3219.0,238.0,6.9
CN1607900000000,16,79.0,"Shoshone County, ID",1999.0,6531.0,5810.0,721.0,11.0
CN1608100000000,16,81.0,"Teton County, ID",1999.0,3087.0,2983.0,104.0,3.4
CN1608300000000,16,83.0,"Twin Falls County, ID",1999.0,32193.0,30714.0,1479.0,4.6
CN1608500000000,16,85.0,"Valley County, ID",1999.0,4036.0,3680.0,356.0,8.8
CN1608700000000,16,87.0,"Washington County, ID",1999.0,4615.0,4247.0,368.0,8.0
